,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),y
1920,1000000,-1.3059256597008502,-1.3887620623980812,-0.6305518505862071,-1.0078916813091547,-1.3197263262530396,-1.0308143438428483,-1.1557583423937192,-0.7010232459661335,0.9038502538051609,-1.6003336934589558,-1.5475682091523764,-1.1069112022787237,0.1052257336817132,-0.22739622449113017,2.6255690179357356,2.4377744126568315,-0.40337548822644576,0.48254210128928915,0.6431098965585689,-1.354921065380632,-1.380086405363342,-0.010427105915854412,1.1751760008325416,1.170986715333661,-0.3987676603878925,1.0928198788747583,-0.4209035773302765,1.2203770068659667,0.4888398508099176,1.073925136592596,-1.3376003407247452,0.5458868661792963,0.6342334054311408,1.3386777555474516,-0.25280570763965693,0.4014596452778276,-0.7866532358845779,1.0578122594605155,0.495679358638448,1.3611067307130107,2.328913935582427,-0.4846284105145332,-0.6808867223966227,-0.42183860833391346,-0.6873506254073006,-0.5481693835973598,-0.14499481847978432,1.5591067074872655,1.4173520984648427,-0.3366942332369758,-0.4355218969697878,-1.4590792900720926,-0.36218982555726187,-1.4512524027231866,-0.16078841618171175,0.2908601397630692,-2.7922040157300874,1.0756428396158049,-1.1643405198522254,-0.7110333140533482,0.5488196273800412,-0.578020788739328,1.2619089109543902,0.29508866210415097,0.06273286029704728
2153,1001000,-1.5043470521682774,-1.3340010114593535,-0.5155427346688094,-0.6646624213250375,-1.074744440590205,-1.0308143438428483,-1.1557583423937192,-0.7010232459661335,0.9038502538051609,-1.509343908388882,-1.0668079768140426,-1.1872502589180467,-0.6178024612172994,-0.30085774723320835,2.5067036461433063,2.1680262996930857,-0.37933928265075695,0.39243912881205517,0.574293533036888,-1.3547010993668493,-1.3713730629969136,-0.18541567903611195,1.1493534361288458,1.1781320653353975,-0.13784243807127164,1.0862887953850098,-0.4641935579772318,1.174256096565806,0.4771944161029782,0.879152513085074,-1.200355965613763,0.5065657411129214,0.7127903891371562,1.260733029857518,-0.11754815419249239,0.22883836789056594,-0.6244077530624685,1.0579706956340236,0.6124316399400387,1.338600340614181,2.2562578989306785,-0.5510812186608011,-0.3999663075722102,-0.1537862805882545,-0.6757239619493828,-0.49495241737613455,-0.04202035853017352,1.7433109250129564,1.427433057020231,-0.33779536352400896,-0.4175873031583769,-1.4590792900720926,-0.6313788228065623,-1.2806260645971668,0.05239093253689462,0.2908601397630692,-1.8289651273595207,1.2408095980859637,-1.11220634548744,-0.6475370251935385,0.4754333796566394,-0.8267098380356096,1.2474529692892182,0.29508866210415097,0.06082598169981567
2177,1002001,-1.387766364847761,-1.5916828076742102,-0.5442296157737486,-1.0683238451572359,-1.0909888590583063,-1.0308143438428483,-1.1557583423937192,-0.7010232459661335,0.9038502538051609,-1.3171165578323394,-1.4269689704773305,-1.234995604408594,-0.6178024612172994,-0.30085774723320835,2.4676696819499186,2.1680262996930857,-0.37933928265075695,0.39243912881205517,0.574293533036888,-1.3547010993668493,-1.3713730629969136,-0.18541567903611195,1.1493534361288458,1.1781320653353975,-0.16991385992705194,1.0862887953850098,-0.4641935579772318,1.174256096565806,0.4771944161029782,0.879152513085074,-1.200355965613763,0.5065657411129214,0.7127903891371562,1.2597441277963874,-0.10620743703703822,0.22883836789056594,-0.6244077530624685,1.0579706956340236,0.6124316399400387,1.338600340614181,2.2562578989306785,-0.5510812186608011,-0.3999663075722102,-0.1537862805882545,-0.6757239619493828,-0.4707373078489471,-0.04202035853017352,1.7433109250129564,1.427433057020231,-0.33779536352400896,-0.4175873031583769,-1.4590792900720926,-0.6313788228065623,-1.2806260645971668,0.05239093253689462,0.2908601397630692,-1.8289651273595207,1.2408095980859637,-1.11220634548744,-0.6475370251935385,0.4754333796566394,-0.8267098380356096,1.2474529692892182,0.29508866210415097,0.06045599132980261
2346,1003002,-0.9129619999485598,-1.6158481751766682,0.0275361283562159,-1.337340602050481,-0.41821436510718385,-1.0308143438428483,-1.1557583423937192,-0.7010232459661335,0.9038502538051609,-1.2730698598263395,-1.060234755222515,-1.3676165673960414,-1.2185740844812103,-0.3456340429777481,2.254821362211217,1.5972909253399914,-0.4272200821168938,0.5020210322983722,0.3431595020793347,-1.2973431992432427,-1.2918788288738794,-0.7300230970950493,1.149306654714224,1.1599079582033698,0.06865181813552995,1.0382485296413242,-0.5482352220046992,1.057908913853297,0.4015781675283004,0.5680294931526559,-1.0130709369948874,0.3997975470956512,0.8312261851427345,1.2122118172412018,0.139687891137187,-0.04330050675742031,-0.4576069714295076,1.0533517489830286,0.7706711214580234,1.0862519258837153,1.9258625854345066,-0.5601431518838745,-0.18705488756941688,0.13466784951737756,-0.7081803967606929,-0.31441326066020187,0.1885696962548404,1.84579837186417,1.5007946871262268,-0.2937387810196427,-0.37575634645447814,-1.4590792900720926,-0.9346241201528298,-1.249913267536385,0.26634679112825566,0.2908601397630692,0.37514896757964494,1.4039056847694003,-1.0222507893093706,-0.523538709258227,0.5083634348040206,-1.0712920646673834,1.454303069085835,0.29508866210415097,0.06002858497359233
2635,1004004,-0.8975973071280944,-1.2574455579558028,-0.6445939256058982,-0.875472535637019,-0.3294979212538979,-1.0308143438428483,-1.1557583423937192,-0.7010232459661335,0.9038502538051609,-1.4545126043384804,-1.118484130107676,-1.5030111780748998,-1.199907288093765,-0.3384672727317086,2.254821362211217,1.574239388974875,-0.46099589424579895,0.5020210322983722,0.3538052923472609,-1.2699058251972886,-1.2811717133565041,-0.7300230970950493,1.145097591943947,1.1567529574631894,-0.041958359615938724,1.0382485296413242,-0.5482352220046992,1.057908913853297,0.39817841995707937,0.5711557095535207,-1.0130709369948874,0.3997975470956512,0.8094923393713068,1.2161798231189842,0.14355918302971876,-0.03773103433383493,-0.45202268590655464,1.0528640177053716,0.7743281209260412,1.0431239674181574,1.9258625854345066,-0.5551134729833884,-0.18705488756941688,0.13466784951737756,-0.7016231492879705,-0.32110583437710566,0.21151603429355265,1.84579837186417,1.5007946871262268,-0.3194997298776983,-0.37575634645447814,-1.4590792900720926,-0.9143485346016175,-1.3137225355459976,0.26634679112825566,0.2908601397630692,0.37514896757964494,1.4039056847694003,-1.0222507893093706,-0.523538709258227,0.5083634348040206,-1.2516068781923828,1.454303069085835,0.29508866210415097,0.05977337716475206
2845,1005006,-1.5324371436452378,-1.4355993720248303,-0.5213797538194331,-0.9065523810625692,-0.7585344510682973,-1.0451219704999752,-1.2321343425958697,-0.6454390909683886,0.911689362440139,-1.441284642211824,-1.0140957983608205,-1.4969728581241564,-1.8631735715248452,-0.45714988152304603,2.271193810064413,1.4186041013120219,-0.49244427763017323,0.5490016528128441,0.3007033382686777,-1.2567389435111724,-1.3010821188656978,-1.083657736410168,1.2275769040851134,1.2251822570680924,0.3533502250989431,1.0249856129165595,-0.6302271734852174,0.9845706919128763,0.30808290087449003,0.33315604151540845,-0.8343097238425052,0.49353830791578557,0.9477498122762147,1.198525427106189,0.2389849487087934,-0.21285067250135173,-0.4466598720756112,1.180224064432149,1.0593562873368925,1.0598906305082765,1.9203503399061035,-0.5472586333177587,0.04987787588555654,0.26625123155495384,-0.70937875541857,-0.20833449840443574,0.2566909613935083,2.0084105309290328,1.5697399366247686,-0.26101603697096126,-0.36517323870137625,-1.4590792900720926,-1.2002498047039447,-1.2252058798834065,0.3824670391476864,0.39065071365719456,0.9872061876873255,1.5048430677301112,-0.9913490656636305,-0.4527034891881162,0.6174239089370857,-1.0306124520716053,1.6578399249883677,0.44496625735715484,0.05938141987770161
2951,1006009,-1.6464135278524812,-1.2622828394194079,-0.7638856765359393,-0.7824523622686166,-1.086002999026467,-1.0169389151243058,-1.0689055590304184,-0.8528874870775206,0.7461053802509922,-1.4853843837531395,-1.3969736108275828,-1.6606677708406248,-1.2292625425205028,-0.29212409615495216,1.9963671914618857,1.3167367890973551,-0.48214808421217387,0.44236932419038005,0.27202329902112543,-1.1898734657419678,-1.1813076445999058,-1.1402448021877607,1.0402457423135194,1.0659914017515018,0.08017500485586687,1.0110450036161962,-0.5055549704120579,1.074197910634538,0.4441354071810484,0.5068989660979372,-0.9381036925839353,0.33314571171178164,0.8024614317828687,1.137585700604577,0.29143465610242525,-0.08265758158256409,-0.3720529829833219,1.0068380574539324,0.8309922213590717,0.8087017304461361,1.313640696861336,-0.5983120800778022,0.2534317461308151,0.12094011418388748,-0.7072262527351155,-0.23200841346491302,0.42557339358271995,1.9151409484637876,1.4710281983321838,-0.400220485898112,-0.31747828902330677,-1.4590792900720926,-0.9013497213807724,-1.228066226669077,0.40140006557542873,0.2908601397630692,0.7845686666243687,1.6083906912813228,-0.9331780788706943,-0.4632576000763117,0.35241507748179646,-1.2516068781923828,1.4271135454977935,0.29508866210415097,0.05801593295114282
3854,1015056,-0.7004294121903085,-0.9601641103529305,-0.7329325739016415,-0.5295291342387303,-0.6047201083972384,-1.0008099638009056,-0.9572530652312538,-0.49668884609574465,0.8613499618827026,-0.9394520480001938,-1.438726910156586,-2.1695391634407297,0.13384212308616025,-0.49538413181544694,1.146272714251256,1.190528554236792,-0.5397445779381509,0.14921281948620388,-0.8619688450134636,-1.1738322941954547,-1.0592242160891963,0.48618609398500007,0.9022317690200307,0.8935250327341836,0.06803702464081293,0.5330640176168324,-0.12372385651744343,1.1957893763323721,0.8039142429010261,0.6870519789575671,-1.027461204693275,0.563449787750481,0.5097665249138342,1.0092737014624327,-0.02338157692237207,-0.3785698097796233,-0.4407953677058665,0.5622863626280582,0.5966345181857703,0.612956523564095,0.13540690314913872,-0.2170251752690333,0.18071705267555865,0.5551637826127482,-1.1568976157375874,0.04479611064631366,1.083631725483066,1.3893299745107937,1.5306968389255988,-0.42374858218792844,-0.6460004723526103,-1.3341115932610668,-0.7098541801865212,-1.4895390102319126,0.593674787720183,-0.7402863925236015,0.6081305651629058,1.9011144736365932,-0.6173456830342797,-0.465552432074467,-0.13909558882027703,-1.2777713148331704,1.5251827267207652,1.247339428042464,0.021056951468640617
3898,1007012,-1.2053265111023683,-1.270820104583093,-0.17958422338948155,-1.0222311710562832,-0.8384245215291122,-1.0114944336965157,-1.0588415012684418,-0.7400318976568305,1.1971561411989167,-1.0973085498423647,-1.3981390756214374,-1.3330472955327384,-1.2256610942403379,-0.29212409615495216,1.9360484135300333,1.292033845156585,-0.48214808421217387,0.4406338303557055,0.27202329902112543,-1.1875362272825922,-1.1759358804883813,-1.1402448021877607,1.0297193762802614,1.0469923988413796,0.07646767039756,1.0110450036161962,-0.5055549704120579,1.0770417421930105,0.4510947887798323,0.5045115828252213,-0.9303991011264102,0.33314571171178164,0.8150519783317356,1.1345907483575761,0.3023718957138829,-0.08265758158256409,-0.35919523917442603,1.0068380574539324,0.8350294441408461,0.8087017304461361,1.2689245974330947,-0.5983120800778022,0.2675588414798706,0.12094011418388748,-0.6973318323918959,-0.22164775359434047,0.42557339358271995,1.9151409484637876,1.4524989814881044,-0.400220485898112,-0.31747828902330677,-1.4590792900720926,-0.903665359005864,-1.2420552882013418,0.4143150872826633,0.2908601397630692,0.7845686666243687,1.6226501917725455,-0.9016739403907446,-0.4646209388269409,0.35241507748179646,-1.2516068781923828,1.4271135454977935,0.29508866210415097,
3904,1013042,-1.1659892810446293,-0.8389034309644676,-0.5397174964839624,-0.9252357265943516,-0.28466135988890295,-0.8688066185898665,-0.8612403796184739,-0.7869879152383128,1.0025330963399286,-1.2749179723897788,-1.3173437270791397,-1.6356962857771669,0.617614931140709,-0.3327891729416276,1.42187531088376,0.690089120853349,-0.0586724770565297,-0.4321846722160204,-0.7568502336669051,-1.2792374053969928,-1.1983767512846135,-0.05175040001495768,0.6488576991696466,1.2410831267140972,-0.5940093475889997,0.5961601323805722,0.1471339275800025,1.3555019456251538,0.7971149840822785,0.10174469400822303,-1.0560961534683766,0.43298769425332184,0.5926582750988374,1.3058605275871353,0.2940562729332242,0.5872545671715543,-0.36914854183031426,0.9867863680321418,0.5087350370944165,0.5601689856239087,-0.336431696372856,-0.3793294352278958,0.5196641040502301,0.8934201278632469,-0.7522797202616485,-0.1589707464426619,1.041446444694903,1.268555413530114,1.3442116392256087,0.01586130443968629,-0.19360397766165574,-1.4223140212590404,-0.6456715174398809,-1.772444034964316,0.4849626691800105,-0.6904092250440257,0.6081305651629058,1.1133678630691821,-0.4293130465935543,-0.35749224859543144,0.12559311868980072,-2.312043405942229,1.7672538641800482,0.5558382900782362,
3909,1009020,-1.1542863766318954,-1.2682207866941042,0.20621403744795846,-1.0805232030209981,-0.49505617327836415,-1.1661458676454748,-0.4600922421509177,-0.4030248433551005,1.389665430613876,-1.2164650638371144,-1.2955998337658696,-1.4785846708235677,-0.29967655348297706,-0.06894422364603944,1.4682926373014846,0.866764785258205,-0.4590995575857582,0.18438657506905437,0.03125744078392948,-1.0677600380452785,-1.0006215300398127,-1.1686049718558664,0.6578867370242584,0.8788748761590809,-0.08533115618527304,0.9665666532945453,-0.2786611588989327,1.3847259797141385,0.6679163599246317,0.8031342727153888,-1.1098105626734434,-0.12466248780685095,0.6906626202602907,1.0526553749709584,0.4062488504636639,0.13888911343551355,-0.11762822504552896,0.6711274393822971,0.6834358457820309,0.42744420223225454,0.2590959594169306,-0.6455229591830967,0.4562868299553067,-0.5226485657039245,-0.7521814134340203,-0.24360945932589062,0.7019815218439127,1.7275386725994573,1.2621632598973256,-0.5953540415835444,-0.2654662879768309,-1.4590792900720926,-0.3558531982083803,-1.2822971201073066,0.3986129898207809,0.04639033491373234,0.6081305651629058,1.8461363482683597,-0.5696362275961279,-0.48861200909784686,-0.15189240231105292,-1.501243219182145,1.1843230198306527,-0.2365534704973793,
3923,1014049,-1.0494584114076502,-1.1572080833433391,-0.6927362479588924,-0.9821362340719366,-0.51094008060685,-0.4038190263087579,-1.1764397157513435,-0.4800888196076124,0.9125700829254262,-0.891647878218588,-1.504639513916431,-1.4178212241086805,-1.2925485555540797,-0.5741998404026495,0.9733625819297791,0.6316929010798009,-0.39315322048150875,-0.9640217392901632,-0.04231787320567024,-1.3790337173661589,-1.1292434232012416,0.6782245921850171,0.7542960002142083,0.9003028771540977,0.2794457133128228,1.0121873776389052,-0.3737140846483997,1.07763135549343,1.0306418234834829,0.7982869721591243,-1.0004414171280416,0.43622625553897565,0.490556244532627,1.4803899852251163,-0.4098694066496913,-0.32463464887529175,-0.7441132448601347,1.0239380088723375,0.12755474785651708,0.18806661153741489,0.6343181143255971,0.01826396605396103,0.20551352618965937,-0.07420846704801429,-0.19151561460052227,-0.6162544831607408,1.12625868748868,1.3414531870762239,1.5448522285243182,-0.4951214892784123,-0.6922539962847775,-1.3270039763111319,-0.8459516995584526,-1.2590262643487298,0.6731183651657439,-0.3808497352522138,0.6081305651629058,1.6596452605533047,-0.5518760856867319,-0.0032096829218273577,0.18078882670882854,-0.9051139000317749,2.1188092645005057,0.8807879708070068,
3958,1012036,-0.7881223106730382,-0.7250836270413753,-0.3630209166117029,-0.7682156253851227,-0.2538163773732994,-0.7332371038812026,-0.8876939167832578,-0.671865268432356,1.1291095266066755,-1.0908124979326947,-1.1788669894361195,-1.8150155307116267,0.285298147689953,-0.6188392377750782,1.117599569639433,1.202627215618328,-0.6998111817705895,0.3957674095555635,-1.1245729155626032,-1.2380591424118492,-1.1114981997871192,-0.09639095734926006,0.8168323562562023,0.6960116425806052,-0.4914510218455646,1.0048920610372194,-0.641303903951905,1.2274436460304072,0.6628243907795147,0.9545559729568057,-0.9523707678484892,0.13881210802611513,1.2637607328744809,1.1889301431974093,-0.06954990358974993,-0.17515013950435984,-0.5612707394940504,0.9466247976446281,0.5966037806820692,0.8432553474954567,0.09310896417036227,-0.28790472809194795,-0.9279847518936635,-0.7838924233717646,-0.4399901168268132,-0.0301363900687325,0.6999279077829432,0.895041726322597,0.9541216773628592,-0.1702070476215067,-0.5271043935887424,-1.0260567273082501,-0.47797170681183604,-2.150705479336426,0.31239928178742155,-1.1665451139390108,0.6081305651629058,1.7886178641769421,-0.32416106911340736,-0.7792002515848099,-0.4305290072208182,-1.7055926223428788,1.3974027463102436,0.04324957803611521,
3982,1010025,-0.6897349689040686,-0.8353982032465659,-0.7045656538953595,-1.0352667487047231,-0.4360177672354015,-1.1502289008934092,-0.6846350548205938,-0.7609958438143208,1.3650922108477266,-1.244150001489278,-0.9513886986965381,-1.4079103894768952,-0.5691896669653512,0.04609146986991103,1.6509597971900922,0.7861726751214061,-0.48715928296644845,0.3014921768266129,-0.2900654993351758,-1.066710551092827,-0.9289555591221113,-1.2244549245720189,0.5752065168304078,0.8386564103199179,0.6111109570640341,0.9948125418645306,-0.27081957022090813,1.4296858362619485,0.6671383393152176,0.8608292765259073,-1.1814850749388717,-0.21343038241625295,0.6847374573451891,1.0678325758856115,0.5387472533068896,0.20693521211050084,0.06588715379705483,0.24000960104608504,0.6214959320234557,0.4533164566515926,0.35499902630585445,-0.6527818424942181,0.5409717616739272,-0.6904512040258809,-0.9837495016446812,-0.21483888601178872,0.7785638701840535,1.7729738363853325,1.3615666951436856,-0.39628346590468455,-0.2336546171086063,-1.6089521878221251,-0.41340499592334257,-1.0657612513035317,0.0620076699190462,0.2338539907207737,0.6196268096426103,1.8254877495850172,-0.8124391587698852,-0.42775130765220964,-0.07543705560581158,-1.6024104767497243,1.149492501235871,0.016916143912645447,
3989,1011030,-0.6741175746250798,-1.5344167080960094,-0.29168410490518465,-0.8987616177393777,-0.4836614089455708,-0.8254402652125463,-1.1679941609467928,-0.5636554736898037,1.2894743988455983,-1.3795450550122668,-1.2372367928098147,-1.7408104944914793,0.5350140141059636,-0.29951143469690583,1.1004580198739666,0.9550146283251392,-0.3649209455460128,-0.508494135020882,1.3980862510864192,-0.9392699075805441,-1.1391389176545437,-1.1607610933124053,0.7323393913282363,1.0983921085317534,-1.1971912505736888,0.8107242847308578,-0.10979006974456705,1.2825514571573338,0.6388055567615386,0.7132989458884981,-0.8689353750298096,0.25056409136800506,0.3992088244910541,0.9319197819299567,0.40830826434935424,0.10657420185610517,-0.19832964844946974,1.2168351952240357,0.8948758811872543,0.24640931668558416,0.020875429802544556,-0.8144192092200965,0.8541561256269916,-0.3023875879325185,-0.26914345789894156,-0.396534358736433,0.5886457204302062,1.8182286039971352,1.0886001618609336,-1.1200661003740302,-0.29070778028819166,-1.2251262003277001,-0.16050045483629635,-1.5656118604531215,1.1931833852568134,-0.06254441766086956,0.6081305651629058,1.9207410487842937,-0.16917752267350505,-0.5949039636819721,-0.26155592625917856,-1.3139107826567016,1.2443523863117651,-0.8154423937848985,
4026,1008016,-0.5622357956611834,-1.3974193268989445,-0.28099180577711985,-0.6938387115383533,-0.2380617185063441,-0.7515258200419371,-0.9243560488662007,-0.7857542138785921,1.0981837015608273,-0.8511405211336627,-1.1139131079951528,-1.2203934768835534,-0.6304284981429699,-0.08769880088814061,1.7251688491527641,0.9631695035374654,-0.48045688591978186,0.34163003996121305,-0.0588072500370324,-1.1077243024668864,-1.027085256590946,-1.2050115087422133,0.8079134446136623,0.9233041278819637,0.1486406753477855,0.9977688523533039,-0.34022747291047567,1.3441108288024528,0.6414585474536678,0.705027412129211,-1.1039867766745934,-0.09103550248744174,0.7624495073455306,1.0796997508449329,0.3863053410013498,0.07913060407135164,-0.13367454779045326,0.6871651399026717,0.7124285446530841,0.5782035443805957,0.674091098265001,-0.644742292115444,0.4345307626479164,-0.37654515231814634,-0.8015927159578183,-0.22398933313298733,0.6134476407473166,1.8209662706463083,1.3733931497252927,-0.4516221088929268,-0.2569797230906327,-1.4590792900720926,-0.5574536431423993,-1.2005996847705747,0.25408540266834284,0.23441331950595753,0.6081305651629058,1.7765596390629008,-0.8265317794953717,-0.45364197895114194,0.019841814501205746,-1.434582246089381,1.2339415244718446,0.13242961899523734,
