,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),y
1970,1000000,-1.539836956382873,-1.2041198467442038,-1.0060462202937188,-0.6257632550063663,-0.7208264234114072,-0.9442183971732632,-0.8133234421556214,-0.4306456808177423,0.6750866850305822,-1.1786074146039598,-1.406559243943385,-1.642178037319209,-0.1499068945677742,-0.34693885592473284,2.5908694929762346,2.5298773385944666,-0.11068980368480992,-0.8154661594248547,0.36112205075260395,-1.4961099770537374,-1.4684683557026812,0.4384688806629005,0.5573924440245653,1.2975923191020147,-0.03866088774633995,0.9427673561368259,-0.8909860482848969,0.3391066148318793,-0.962558223543405,0.2197859685518618,-0.14117593434572126,-1.1292223354702613,-0.47253407304917444,0.610541355801658,0.03159311129954492,1.1915501364486754,-0.9989661935315786,1.3380006661271515,0.723351257839217,1.1472842077791958,0.9753030972607323,-0.5065493478839901,-0.5959611642070278,0.06619113952148563,0.06602082264138609,-0.08960955001891534,0.28852578812726326,-0.7632642795706718,-0.7543587251252173,-0.15176810221352766,0.09699941706023303,2.89972569096545,1.335569004750054,-0.802389331476426,-0.0716695452304874,-1.3400966176745244,1.055311171723865,-0.9435026225933717,-0.39096700282672514,-1.064867372880644,1.0855004502088093,-0.6726888907266226,0.5699348193397703,1.027966197556204,-0.9004361651254587,-0.41307374353625137,-0.3808972310656986,-0.9152510880193816,-1.086001366761876,-1.4079844369412713,1.0838777237354813,0.4213875049850785,-6.049855006324902,1.5917506336363008,-6.333101390031346,1.0281660373236927,0.04658664806234769
2145,1001000,-1.3571434674893805,-0.9648772167801869,-0.27245407813316874,-0.9656849032484466,-0.5705867875387668,-0.9985175652513566,-0.8448563797931682,-1.0512712923057654,0.7598804558009518,-1.069889548107652,-1.123963451885667,-1.2797111901507263,-0.040681911451296175,-0.2388713018649422,2.2089504091711865,2.1956650721683046,-0.1541774512134342,-0.32329984586154686,0.2981214147519399,-1.4208141051029934,-1.4835632510991548,0.4731698089612235,0.6185363876862121,1.2618840114230314,-0.06723801299870344,0.9408373281352247,-0.764633019876932,0.41992101111564556,-0.7739708521043163,0.18294121080797413,-0.24176094839128318,-1.174768725545199,-0.4177939289978252,0.5389067541839841,0.2008471159428646,1.1000852336899185,-0.9489386873745927,1.348275441924789,0.7622434951279247,1.1797466571613897,1.1958255805477043,-0.4753247908672618,-0.6106692162294312,1.5862023673076442,1.3426209917099994,-0.10322721111458416,0.38888386998338825,-0.8050945053419641,-0.6449955608266791,-0.4723260126813247,-0.03817182846947204,2.962879721989857,1.348803217539222,-0.714191137938143,-0.31977383019320926,-1.3400966176745244,0.7952515706731065,-0.8512487915777434,-0.4412260089907986,-0.739158703299336,1.0855004502088093,-0.7028239097390911,0.3378449972028117,0.9423002903973486,-0.8725570911342948,-0.48682159007551734,0.0352946200763065,-1.077633159905851,-1.1217563076114314,-1.5407243954615744,0.8763785041939915,0.4748353009897636,-6.049855006324902,1.2261207191588466,-6.333101390031346,0.8689294617138706,0.04472700336136315
2192,1002001,-1.3083105912795514,-1.1322012308791856,-0.2947952941115102,-0.9374128793129309,-0.18701916719114012,-0.831171746085943,-0.8972865507442939,-0.5310273513090088,0.6980290879376669,-1.3721460773989456,-1.0606892659480605,-1.2797111901507263,-0.040681911451296175,-0.2388713018649422,2.2089504091711865,2.1956650721683046,-0.1541774512134342,-0.32329984586154686,0.2981214147519399,-1.4208141051029934,-1.4835632510991548,0.4731698089612235,0.6185363876862121,1.2618840114230314,-0.07245050320636243,0.9396214930223433,-0.764633019876932,0.41992101111564556,-0.7739708521043163,0.18294121080797413,-0.24176094839128318,-1.174768725545199,-0.4177939289978252,0.5389067541839841,0.2008471159428646,1.1000852336899185,-0.9489386873745927,1.348275441924789,0.7622434951279247,1.1797466571613897,1.1958255805477043,-0.4753247908672618,-0.6106692162294312,1.5862023673076442,1.3426209917099994,-0.10322721111458416,0.38888386998338825,-0.8050945053419641,-0.6449955608266791,-0.4723260126813247,-0.03817182846947204,2.962879721989857,1.348803217539222,-0.714191137938143,-0.31977383019320926,-1.3400966176745244,0.7952515706731065,-0.8512487915777434,-0.4412260089907986,-0.739158703299336,1.0855004502088093,-0.7028239097390911,0.3378449972028117,0.9423002903973486,-0.8725570911342948,-0.48682159007551734,0.0352946200763065,-1.077633159905851,-1.1217563076114314,-1.5407243954615744,0.8763785041939915,0.4748353009897636,-6.049855006324902,1.2261207191588466,-6.333101390031346,0.8689294617138706,0.04435943854690017
2503,1003002,-1.168686515180744,-1.3745940707718596,-0.5029756111953542,-1.4056072319321762,-0.18086073843110675,-0.9395472489557692,-0.6930500283965879,-0.7864619124789559,0.936220420060856,-1.3590596064572964,-1.268709191296902,-0.7378619083172895,0.35114548013904723,-0.06760983207709756,1.6207669408774046,1.6911964433670732,-0.26238823019051893,0.24286407926780154,0.3261932146406506,-1.0365353674958657,-1.3401536229355526,0.5496180628066296,0.729065321101618,1.177030855726271,-0.09393021061725988,0.9526470688058355,-0.6023184581017689,0.44511603678327943,-0.6136424840268264,0.030085392846007447,-0.39847030771464226,-1.2582653697750126,-0.39734790480482185,0.4378625358351224,0.5092138744188136,0.9071761159914152,-0.8932214582886191,1.3799738535273844,0.8773284732488247,1.2982216086728264,1.4160478301581136,-0.4620229548633016,-0.6378767646939228,1.541545787217484,3.2885143116803564,-0.005411917015580925,0.30133341502450994,-0.9732726205547358,-0.5137005746369526,-0.43803079799736394,0.1376177136646803,2.8323470062477223,1.461048479461276,-0.6699209039477969,-0.6467098920397902,-1.3400966176745244,0.7426169514935619,-0.7066088173057917,-0.5039430089425165,-0.09604462756370419,1.0855004502088093,-0.7570181243390934,0.3378449972028117,0.7658895925873181,-0.8623515638694974,-0.48682159007551734,0.41094960732267155,-1.2962355451412357,-1.0146241273130614,-1.5597652517999594,0.6631331106865762,0.5042370125677645,-6.049855006324902,0.4989612768793713,-6.333101390031346,0.7334721559609454,0.04385802653053983
2688,1004004,-1.050621529076162,-1.3063786205779684,-0.11318246240972851,-1.1241830705108176,-0.8342355644510999,-1.0128120570097783,-0.9463471468096738,-0.6405095335645454,1.072476453862165,-0.9675679142345128,-1.271424807637661,-0.4314371934352652,0.32450588157643573,-0.07557667913656933,1.6207669408774046,1.6488267158137253,-0.26238823019051893,0.21679225632429108,0.3261932146406506,-1.0197996265693232,-1.2390519385443737,0.5094702349327033,0.729065321101618,1.160373936023058,-0.09393021061725988,0.9552880273771918,-0.6023184581017689,0.4267768021485868,-0.6136424840268264,0.030759448698858424,-0.39894114252164586,-1.2582653697750126,-0.39734790480482185,0.4466949985404131,0.5092138744188136,0.8858528425261356,-0.8910030438897482,1.3657001692492616,0.8846501950351611,1.2982216086728264,1.4160478301581136,-0.4620229548633016,-0.6378767646939228,1.541545787217484,3.2885143116803564,-0.005411917015580925,0.30133341502450994,-0.9732726205547358,-0.5137005746369526,-0.408093507550462,0.20559673596882203,2.8323470062477223,1.4609227893788406,-0.6878896071716476,-0.6467098920397902,-1.3400966176745244,0.7426169514935619,-0.713412577692826,-0.4981005630132305,-0.09604462756370419,1.0855004502088093,-0.7610906738947488,0.3378449972028117,0.7658895925873181,-0.8623515638694974,-0.48682159007551734,0.41094960732267155,-1.2889426608890242,-0.9983490208154098,-1.4349873100099952,0.690787394643701,0.5041401960958711,-6.049855006324902,0.44854531925430213,-6.333101390031346,0.7334721559609454,0.04364327470533025
2807,1005006,-1.0026387722752688,-0.8227491897144618,0.0012081060571489698,-1.099996588547019,-0.4077982008277062,-0.6492679948298102,-1.0241321643233843,-0.5706684799227448,1.0776863502995815,-1.1742808343998392,-1.2443725952203157,-0.5133253668328839,0.6337478886129126,0.06504699781654259,1.335256594959299,1.2598986019163252,-0.24678134823027512,0.5669731233058265,0.21449017784995394,-0.8635040985084936,-1.2146333184100588,0.5832364577165772,0.8074851059090085,1.1286970045087725,-0.15664890602559997,0.9908223390728161,-0.4892742865927892,0.4710561047830029,-0.5116030379216905,-0.1330996906443236,-0.45211600690635934,-1.2844076532395217,-0.4355905887793598,0.3875753625400822,0.722913030368413,0.7276997254889315,-0.8583311559506954,1.4506991068773019,0.9542176918897474,1.4957399475187159,1.4340994506157536,-0.47883718954240595,-0.6759833655731794,-0.030888382413646408,3.9578074625821014,0.14328400735966404,0.058129854024951834,-1.0247040289314504,-0.5058788152826128,-0.31992009596894305,0.373042140027866,2.847013269265389,1.561368306122105,-0.669419715540432,-0.9357628976375543,-1.3400966176745244,0.8798624411253836,-0.6035381545945258,-0.5196952744309116,0.0069894200120759085,0.598976467648583,-0.804681789924467,0.3378449972028117,0.6079407265799417,-0.8639878534654681,-0.48682159007551734,0.7239703784824337,-1.4390675938014854,-0.9579085332786713,-1.5693105655940651,0.4426799301775239,0.41057900849972206,-6.923725757437731,-0.12231281261870969,-6.333101390031346,0.6048619568458019,0.043277450469758616
3016,1006009,-1.6020821485343475,-1.3153846590440135,-0.7700488724562378,-1.4042784730535618,0.06282121934161274,-0.9761021780625987,-0.707601775637682,-0.19946092607561272,0.9584920455397726,-0.878106871822241,-1.0740260239678088,-0.10042425758803629,0.25051904881127557,-0.08084214743939241,1.3232238085686356,1.3690466893136002,-0.3792002135248071,0.2663637426740052,0.27412359646167755,-0.8838964538773574,-1.144679054992246,0.6713371519039611,0.7861307409638667,1.1301763544989387,-0.024690672421637673,0.9231170664211722,-0.553420266987814,0.4438437234770871,-0.5175000231606461,0.060550626861243566,-0.47817909291252597,-1.3006115227474735,-0.3125308678328299,0.31734828135498544,0.6014718021970586,0.7735238532992205,-0.878454900311231,1.2292017556557737,0.8601750922825963,1.1823081728926863,1.530799453480583,-0.4226339679733641,-0.6174969130729155,3.5592866921331483,3.38174318882558,-0.08679811930584291,0.5902488538275356,-1.0155899937128503,-0.4796847238985287,-0.5722712090096388,0.10222599365940593,2.6639970871605,1.4296611218710766,-0.6545252497836129,-0.7628133177235534,-1.3400966176745244,0.49519573108711923,-0.7454638835162377,-0.5587269715028507,-0.040446854476319925,1.0855004502088093,-0.8045096394347081,0.08847221145402152,0.8982850648533182,-0.7962023557740305,-0.6102319423435052,0.7163600444781245,-1.326845242594051,-0.9948645884637369,-1.244127507559743,0.6761742745845011,0.8711045944030164,-6.049855006324902,0.2624269624448308,-6.333101390031346,0.6000084496180856,0.04194669295424047
3808,1015056,-0.38095722046527114,-0.7607610805292563,-1.0297551028749512,-1.2490398678480181,-0.47498765886714106,-0.6494884324308178,-0.5015287537777668,-0.6521797436029283,1.0124666524444657,-1.050845770016597,-1.178040137565187,-0.07629624328773037,0.360571806405116,-0.0071329928968737535,0.8934871874611033,0.6822420778638164,-0.5024524009279258,-0.8257334454644459,0.5349247012385494,-0.6638926821870732,-0.5179926225685114,-0.5345981390381774,0.9415923032805318,1.2459445808256682,0.30901998475242576,0.730251895994128,-0.4733657604697039,0.8577881261772201,-0.5990097134837102,-0.05631311507364061,-0.3140032330578999,-1.3672581019266277,-0.5108153236945011,0.42163465427111135,0.6962988767241161,0.5574931592987872,-0.8585344996075653,0.43117322041180034,0.23538731373577074,1.6882573875042504,2.0043782507290944,-0.40486324541348806,-0.188876150982201,-0.6223504440982579,1.137466007007822,-0.18892553176474247,1.9365002071223705,-0.298631307461596,-0.27155009435396427,-0.6307287591353822,-0.10895581121137003,2.10141017141969,1.257559634950638,-0.725464066219034,-0.39835783164457,-1.2416494121910326,-0.19322601037063614,-0.42464846314473703,-0.4247523576615496,-0.11156498802208946,3.3938338552591603,-0.818219114459773,-0.6112744175605549,1.8856931691931138,0.20725688046007637,0.0050645143703983144,0.9077906335417407,-0.66517737219404,-0.7613206860699324,-0.8688676530221832,0.7050680207033203,0.9201438696853709,-6.170780541469994,-0.37111545729382805,-2.1615731038175214,0.5388449882780745,0.02004540405203404
3901,1007012,-1.1982537972367713,-0.8826119803640087,-0.3884043259618381,-1.2819200874920282,-0.7891763504238131,-0.42429591693124874,-0.7930431295353827,-0.32330822010413823,0.9295680391324622,-1.3162679146690972,-1.3607266259207074,-0.1485752841932899,0.21883642293580294,-0.08084214743939241,1.3232238085686356,1.27295345486735,-0.3792002135248071,0.3001677090698033,0.28584984503866806,-0.8838964538773574,-1.1246508453518416,0.6545313658769841,0.7875634962152013,1.1366008316763032,-0.036130749451419496,0.9231170664211722,-0.553420266987814,0.45987610727252787,-0.5175000231606461,0.05505102920039787,-0.4748550944473311,-1.2998727984840517,-0.30762742370519264,0.31734828135498544,0.6014718021970586,0.7437399800175035,-0.878454900311231,1.2030764010116952,0.8491500993577565,1.1645093145485361,1.5240851535525826,-0.4226339679733641,-0.6174969130729155,3.5592866921331483,3.38174318882558,-0.08725085628126589,0.6150643748688287,-1.0155899937128503,-0.4796847238985287,-0.5722712090096388,0.09738715593340685,2.596574635063697,1.4255245256862237,-0.6503482113351778,-0.7878616081384989,-1.3400966176745244,0.49519573108711923,-0.7421178844826928,-0.5587269715028507,-0.040446854476319925,1.0855004502088093,-0.8094976607321618,0.08847221145402152,0.8955245607394532,-0.7815274360508871,-0.6011313181865536,0.7163600444781245,-1.3300790647882628,-0.9978837128048397,-1.2198180491221926,0.6761742745845011,0.8755575909008114,-6.049855006324902,0.2600683643458769,-6.333101390031346,0.6000084496180856,
3943,1011030,-0.8747906092465452,-0.9442353518138487,-0.5696717653373032,-0.9930603410390999,-0.0657544394048494,-0.4248825150944944,-0.5563794089185691,-0.6697381133664942,0.7746604937846193,-0.8167054945821347,-1.595874872887608,-0.41196256131014103,-0.8280640218535156,-0.5069643492150816,0.7739959413334795,1.3136525773126466,-0.7536382990297088,0.7689111928716694,-1.409406678238356,-0.8251848187964954,-0.6427149143071813,-0.614204178445805,1.071701297799962,1.2896318337438135,0.4182363365376605,0.8373696458859516,-0.5762891337805757,0.5200531573671646,-0.5087208265140207,0.2559351728437582,-0.39969163615498593,-1.6551549414505466,0.17864892652679287,0.7304183402546987,0.4233677103886949,0.34433747763379924,-0.739338463167857,0.3734662685384204,0.531151127221542,0.59459918705983,1.3449282400867617,-0.5878337899112654,-0.22366033659221166,10.813542015095905,1.1145765608530385,-0.619355292990846,1.7585190601941034,-0.7183368447176824,-0.7151484167323001,-0.7570947147435179,-0.014391155361028874,1.871893095293417,1.0792866189075738,-0.8217216708722395,-0.6971898186982973,-1.3722546089973164,-0.15568639521596564,-1.084307492877986,-0.26674126183227587,-0.6362738899714765,4.217546598465874,-0.9559866247050067,-0.02380990863353934,2.052570005037086,-0.25738455402477833,-0.40845751795178126,0.9909420891603465,-1.3363142189822437,-1.0175583831761328,-0.11308999109812451,1.1371323701057483,1.2034861841254085,-4.636080161359164,0.9467682961261993,-4.895375390938667,0.8341597830538846,
3965,1008016,-0.7511550596917433,-1.136412970990616,-0.5803415977725616,-1.4113448498092132,-0.5233843895873258,-0.5977273110539109,-1.0591737255256672,-0.513504876245015,1.315796903312915,-1.1432701901236646,-1.1690538427440915,-0.2026320819017481,-0.11322540670126785,-0.23749089628651532,1.3556880878089654,1.307250521797512,-0.7031734656166314,-0.31653551852977235,0.568434294550488,-0.9170609716373654,-1.152328090236089,1.0233265572302024,0.6910343421981153,1.0492063386616846,0.16631516589865633,0.8663841145361085,-0.6753981574755562,0.3556673518478498,-0.5238659600144531,0.2670683178556453,-0.5295688501235648,-1.3083803987203553,-0.174312953477739,0.21520091402601538,0.45206550343360347,0.8557339825843129,-0.9238937435237421,1.0276334550299824,0.6685287439303643,0.8390736553144218,1.7230720232854728,-0.31380725106501534,-0.591739196888997,8.489474604851262,1.2868126872862247,-0.3456143171939574,1.1000874162355885,-1.021585784180937,-0.40112818880291085,-0.812524384668499,-0.14175102656848976,2.298673962137021,1.3083071135364894,-0.5791696102806515,-0.5790866090089873,-1.3400966176745244,0.19759476002734513,-0.98378011573034,-0.6476289986225949,0.1622338236431938,1.8039265161053126,-0.8039308543383649,-0.12631075274657363,1.3022153057061385,-0.6517288811212887,-0.6011313181865536,0.6353845721795335,-1.0841861204761865,-1.0465788083637708,-0.8089002701190108,0.8699457017803987,1.3418739496739738,-5.510689096449449,0.5771452014507179,-6.333101390031346,0.5055967236612459,
3991,1014049,-0.667910419282254,-0.9792944490996515,-1.002997287437018,-0.7348669123506414,-0.4346445629135858,-0.3378291552304004,-0.5306240896701689,-0.19149920429473197,1.2301790864400413,-0.6254749728256666,-1.190306494601507,-0.47810941170895815,-0.7023639528656499,-0.23628013698281056,0.8779570765550386,0.7922208167168487,-0.21971384305873456,-0.49243748568840995,-0.09639755848416369,-0.6133093101270559,-0.5466249681078694,-0.13693884769022482,0.9232427626035922,1.466330569863433,-0.3088737353927762,0.8290309197316731,-0.39135026685947794,0.2702204663263894,-0.6154620922622642,0.14643963029605764,-0.38738473694943837,-1.162401018846006,-0.3031806286992566,0.17870477457845685,0.7056908399495297,0.9027253833198587,-0.5318280174819994,0.43137936986482694,0.14531041115683374,1.8733787845536545,2.594006034927371,-0.5951549661058655,-0.7214037049067945,2.6543791901493194,0.9136950812507009,-0.30112535979897886,1.7590613354920277,-0.8994658337930082,-0.8337137979049029,-0.44900114166175153,-0.007297857050210359,1.7244571226158247,1.3106546455777597,-0.5936279822097464,-0.08164778547987855,-1.3058468767284992,-0.40001666222565024,-0.8737428601127885,-0.6004792465338397,-0.49810614081125465,2.748492917852343,-0.5463217286655184,-0.32950524307632706,1.5297533031767956,-0.16421593851232416,-0.14746240863835405,0.5791273347128228,-0.903366033680734,-1.153744611783859,-0.4329556593368227,0.690648627581186,0.8750343631911832,-5.954412715722433,0.2687672067905101,0.26381668349880044,0.5265841958662734,
4030,1009020,-0.5537826059462128,-0.7704054850113881,-1.0746926439220672,-1.0489960714435373,-0.7602171841901564,-0.7786114867610863,-1.0351062088956144,0.06217183876938719,1.0808327259223254,-0.5879462151381132,-1.065709039532944,-0.1723109172884583,-0.4932965034225386,-0.3319837084761141,1.2626249731257262,1.3164903843992561,-0.804160147825272,-0.33932892140004633,0.32610912180676976,-0.889096362924914,-1.0423564958725822,0.772632642740069,0.7151681822267838,1.0945735942697867,0.2607141928958465,0.8381749930766057,-0.6875334113988046,0.37720110761376135,-0.5015610312414741,0.3344569418044793,-0.4979014013104204,-1.4006623475630218,-0.09227506275651874,0.2680253539202648,0.42526920477700125,0.82311215413177,-0.852765588584234,0.867732222155232,0.5428891155107805,0.7172224913348022,1.6822138573422543,-0.31812175822724975,-0.492228130513184,11.707441038492725,0.6876608064665762,-0.4626050354890182,1.5051287351497837,-0.9445131970820542,-0.4442526993052492,-0.9092677839124419,-0.20643579303323029,2.0764775287212127,1.241804728858452,-0.5959261434648444,-0.5242086879715828,-1.3400966176745244,-0.05191168566277828,-1.1287554014290044,-0.6092589866364954,-0.046859062129129124,2.486587577714059,-0.831165724598862,-0.12631075274657363,1.636953762883691,-0.5394296399217428,-0.6011313181865536,0.6995424643420685,-1.0543378700945234,-1.0605107683601818,-0.4948854656471539,0.9965148583979004,1.405306523724029,-5.082413522922346,0.8225845691534439,-6.333101390031346,0.5379501465127546,
4052,1012036,-0.4872806380769684,-0.5790169302653639,0.007886582051583262,-0.733733727591524,-0.7464805779317354,-0.42184559770145497,-0.8649616080572549,-0.4615125399223172,0.9418261757252135,-0.8516619335373278,-1.3428249486783053,-0.2295233789730415,-1.7340381883414029,-0.009227918796926422,0.6109254361780553,0.969336076455064,-0.23716364944912072,0.029633000470096642,-0.1600001444339044,-0.5905850490268466,-0.4670578736824574,-0.40182042068595264,0.5932113253079299,1.458204248536127,-0.6106647392354313,1.0321792920373167,-0.35758139873506045,0.7399162097178981,-0.23855585107479113,0.0822960270307192,0.025023988914021116,-1.092286122299168,-0.2273618666673112,0.3621949057889667,1.2511868438722302,0.6951522484200613,-0.10916844716263135,0.6848668000251853,0.17210161159723522,0.7023127491754363,0.6395881008607034,-0.3420244784248326,-1.1038650885104007,10.518852968334217,0.6061482196224528,-0.1122463987900635,2.5704834493844,-0.6740310586229542,-0.5376435705926333,-0.4362760395818012,-0.1449424692397213,1.77601815601874,1.1287391955074069,-0.5932656895894378,-0.657325757518832,-1.1253953466651916,-0.171931811352623,-0.7762026709161222,-0.5547391082589485,-0.1554419088672336,3.083302926755298,-0.9220899555993062,-0.12631075274657363,0.8899409918629564,-0.7862216709599186,-0.24777410783512507,0.5926015631393825,-1.0769421977299625,-1.2369575838170201,-0.1925115150637437,0.9317768473033621,0.6440373298748251,-4.928615618245294,1.473820728688604,-6.26772338002849,1.0760439683808294,
4056,1013042,-0.4733524404745418,-0.7009011730052589,-0.886292227847139,-0.9554192275015838,-0.5136342295331531,-0.31068736865859764,-0.9404102884181857,-0.592669053438189,1.1823122806606339,-0.40417672699726787,-0.9762643057635291,-1.052408555178845,0.6550263491654177,-0.1604640104890393,0.696438322030038,0.9078171085079013,-0.46938422120772855,0.4475800911002767,1.4685566747886363,-0.4471821406282303,-0.8477005330596993,1.200616433255673,0.6786069872658292,1.543377876452241,0.46263323472589546,1.1578605953710042,-0.6134338411723833,0.4218328662028139,-0.17668913935829192,0.3502245752347493,-0.16987960240309238,-1.3368671959545524,0.14594422081317396,0.25401679818333583,0.2833463013348081,-0.2947053938028602,-0.6964209428188898,0.6488096053745035,0.28768167118344434,0.9930138219159178,-0.507223856455391,-0.6772473662441449,-0.05759831848932322,7.441515711890088,1.3646104336671294,-0.4842470459917794,1.529301840191915,-0.6250297605919898,-0.5331052381997243,-1.2445665534829848,-0.3900731427499637,2.143663466762062,1.4964559500072967,-0.2251005436038644,-0.7384278536894235,-1.359681970487982,-0.27571568603960467,-0.6071651361335284,-0.2993337978520981,0.30235762499141117,1.9319047399898708,-0.6124961913082791,-0.2730445132791115,1.3756249496932313,-0.2809046731338366,-0.37159643138781223,0.7388159974016659,-0.4752074479687522,-1.0804599633726013,-0.5763289200114139,1.0470584119405084,0.9023358408053783,-5.852669640711683,-1.168739080928147,-4.296197148981891,0.7742025413806822,
4062,1010025,-0.4595051648564989,-0.7283669861228306,-0.5615967371674138,-0.7394674131572989,-0.6240235537827834,-0.7382334893794915,-0.5719060313168072,-0.5099743646312421,1.3400489593050617,-0.9034213890071747,-1.0207454023384868,-1.0323972103416226,-0.28864608260117275,-0.2754937605467683,1.4125524979124637,1.3742221583501986,-0.8698068330222446,-0.6664333318933242,0.9209513016295026,-0.9507791452453568,-1.2915145541996333,1.4613202466528092,0.5976391189153438,0.9300731567482758,0.32536517814124716,0.8135318644319919,-0.7664967649740205,0.22294002043853098,-0.5292861958489318,0.39694353099379515,-0.6040986615625645,-1.3067960749140055,-0.1457765230675037,0.10383267551516502,0.3833532604514701,0.9943521125527643,-0.9719282639819721,1.0519651387370452,0.561562571395415,0.7208931398184424,1.9315666249479801,-0.21972595880824283,-0.6081999019312894,12.943290335265603,0.5788872988089474,-0.4439056765328167,1.3345062786743174,-1.0389797205221325,-0.34876574509137775,-1.0265470832008845,-0.2562688665560724,2.137725952773302,1.2683247757477696,-0.5211309633435026,-0.4386795663768132,-1.356164953867792,-0.050140593436410925,-1.2076937327136432,-0.7313667675731604,0.4292408327610628,2.095697438266296,-0.7872855199438517,-0.12631075274657363,1.5322378742314997,-0.6043907436062715,-0.7232153031607864,0.49903851098634744,-0.880219993092222,-1.0685792050035126,-0.635406522405016,0.9526047385877799,1.4703889148023659,-5.126506057852892,0.6703792801433934,-6.892217056345173,0.41603850493212263,
